user_id,name,gender,age,city,signup_date,plan_type,device_type,is_active,language_pref
1,Anay Shanker,Other,54,Delhi,2024-07-09,Standard,Smart TV,True,Hindi
2,Nirvaan Choudhury,Male,44,Pune,2024-12-23,Premium,Mobile,True,Bengali
3,Sara Behl,Male,30,Mumbai,2025-01-30,Basic,Smart TV,False,Telugu
4,Kiara Kakar,Other,58,Kolkata,2024-10-24,Basic,Mobile,False,Hindi
5,Aniruddh Batra,Female,23,Delhi,2023-09-08,Basic,Laptop,False,Bengali
6,Mehul Krishnan,Male,36,Indore,2024-03-13,Standard,Smart TV,True,Bengali
7,Jhanvi Chaudhary,Male,54,Pune,2022-08-21,Premium,Tablet,False,Telugu
8,Madhup Kapur,Male,34,Ahmedabad,2025-06-03,Premium,Smart TV,True,Hindi
9,Zoya Virk,Other,38,Delhi,2023-11-30,Basic,Smart TV,False,Telugu
10,Tara Swaminathan,Male,26,Pune,2024-09-21,Standard,Mobile,False,Marathi
11,Rasha Kakar,Other,26,Bangalore,2024-05-09,Standard,Tablet,True,Marathi
12,Ranbir Brahmbhatt,Other,39,Mumbai,2025-06-14,Standard,Tablet,True,Bengali
13,Tarini Ganguly,Other,51,Delhi,2024-06-02,Basic,Laptop,True,English
14,Divij Gupta,Male,55,Jaipur,2025-03-08,Premium,Mobile,True,Bengali
15,Taimur Vaidya,Other,39,Jaipur,2023-09-05,Standard,Laptop,True,English
16,Lavanya Deo,Female,18,Jaipur,2024-12-11,Standard,Laptop,False,Marathi
17,Samiha Karpe,Male,37,Kolkata,2024-03-05,Basic,Mobile,False,Hindi
18,Uthkarsh Baral,Male,17,Ahmedabad,2023-05-09,Basic,Mobile,True,English
19,Mishti Ranganathan,Male,39,Mumbai,2025-06-01,Premium,Laptop,True,English
20,Kashvi Char,Male,59,Pune,2024-11-01,Basic,Tablet,True,Bengali
21,Azad Sahota,Male,45,Mumbai,2023-07-24,Basic,Mobile,False,Tamil
22,Trisha Dhillon,Other,53,Ahmedabad,2022-07-19,Premium,Mobile,True,Hindi
23,Mehul Verma,Other,17,Jaipur,2025-03-04,Standard,Smart TV,True,English
24,Vaibhav Dewan,Male,36,Pune,2024-06-03,Basic,Tablet,True,Marathi
25,Myra Tiwari,Other,48,Ahmedabad,2023-03-10,Standard,Mobile,True,Telugu
26,Ishaan Goyal,Male,27,Bangalore,2023-05-22,Standard,Smart TV,False,Tamil
27,Lakshay Sampath,Other,37,Hyderabad,2024-03-18,Premium,Smart TV,False,Bengali
28,Rati Sanghvi,Other,59,Mumbai,2023-01-15,Standard,Mobile,False,Tamil
29,Mahika Ravi,Other,40,Kolkata,2022-09-30,Basic,Laptop,False,English
30,Hazel Sethi,Other,64,Pune,2024-11-03,Standard,Smart TV,True,Tamil
31,Ishaan Kashyap,Female,42,Mumbai,2022-10-14,Premium,Mobile,False,Hindi
32,Purab Reddy,Male,57,Delhi,2024-12-21,Premium,Laptop,False,Hindi
33,Piya Gaba,Female,43,Chennai,2023-02-17,Standard,Smart TV,False,Telugu
34,Manikya Tara,Other,31,Ahmedabad,2024-04-22,Premium,Mobile,True,Tamil
35,Zara Dugar,Female,30,Indore,2022-11-20,Basic,Laptop,False,Telugu
36,Priyansh Bali,Male,62,Delhi,2024-03-01,Standard,Tablet,False,Tamil
37,Jiya Vora,Male,59,Indore,2024-03-27,Standard,Tablet,True,Tamil
38,Lakshit Sagar,Other,18,Kolkata,2023-02-04,Premium,Laptop,True,Tamil
39,Vivaan Wagle,Female,52,Bangalore,2022-07-25,Basic,Laptop,True,Telugu
40,Hridaan Deo,Female,22,Hyderabad,2022-12-14,Basic,Mobile,True,Tamil
41,Nishith Sharma,Female,36,Indore,2024-04-24,Standard,Tablet,True,Bengali
42,Siya Master,Male,24,Delhi,2023-11-27,Basic,Tablet,True,Telugu
43,Keya Iyengar,Male,54,Mumbai,2024-01-18,Standard,Laptop,False,English
44,Madhup Biswas,Female,33,Hyderabad,2023-11-21,Premium,Laptop,True,Marathi
45,Divij Shroff,Male,19,Bangalore,2024-06-11,Basic,Smart TV,False,English
46,Faiyaz Bose,Male,40,Indore,2025-06-11,Standard,Laptop,False,Bengali
47,Vritika Sangha,Female,29,Indore,2024-09-07,Standard,Mobile,False,Hindi
48,Kimaya Balay,Male,24,Kolkata,2024-04-05,Premium,Smart TV,False,Hindi
49,Vaibhav Raju,Female,41,Bangalore,2023-09-18,Basic,Laptop,False,Marathi
50,Eva Dass,Female,17,Delhi,2023-12-09,Standard,Laptop,True,Marathi
51,Pihu Sen,Other,35,Kolkata,2024-08-27,Standard,Tablet,True,Telugu
52,Pihu Wali,Female,43,Jaipur,2025-05-12,Basic,Mobile,True,Marathi
53,Tiya Rege,Male,62,Indore,2024-10-03,Premium,Laptop,True,Marathi
54,Faiyaz Din,Other,22,Kolkata,2024-03-24,Standard,Smart TV,False,Hindi
55,Indranil Karan,Female,59,Ahmedabad,2023-11-26,Premium,Mobile,True,Tamil
56,Saira Vora,Other,23,Bangalore,2023-12-05,Basic,Laptop,True,Telugu
57,Damini Singh,Male,62,Pune,2024-01-21,Premium,Smart TV,False,Hindi
58,Dishani Bera,Female,50,Delhi,2024-08-18,Premium,Mobile,False,Tamil
59,Navya Kulkarni,Male,29,Pune,2024-01-11,Basic,Mobile,True,Tamil
60,Indrans Grover,Other,32,Chennai,2022-12-16,Premium,Smart TV,False,Telugu
61,Hrishita Sood,Female,51,Hyderabad,2023-04-07,Standard,Smart TV,True,English
62,Kismat Edwin,Other,55,Jaipur,2023-08-13,Basic,Laptop,True,Bengali
63,Advik Bhalla,Other,19,Jaipur,2024-07-13,Standard,Smart TV,True,Marathi
64,Zara Dube,Female,17,Indore,2024-05-13,Basic,Tablet,True,Marathi
65,Bhavin Dara,Other,21,Jaipur,2023-09-13,Basic,Smart TV,False,Tamil
66,Dharmajan Setty,Male,57,Kolkata,2022-07-22,Standard,Laptop,False,Hindi
67,Darshit Sidhu,Other,19,Ahmedabad,2022-07-24,Premium,Smart TV,False,Hindi
68,Gokul Sahni,Male,44,Ahmedabad,2022-10-03,Premium,Mobile,True,Bengali
69,Ira Butala,Male,33,Indore,2024-03-05,Premium,Tablet,True,Telugu
70,Eva Viswanathan,Other,41,Delhi,2024-10-04,Standard,Tablet,False,Hindi
